frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
98,3248,12,497,563,,,,,,,12,788,496,,,,,,,,,,,,,,,,15,717,204,,,,,,
99,3284,12,519,570,,,,,,,12,804,478,,,,,,,,,,,,,,,,14,705,193,,,,,,
100,3316.1,12,542,576,,,,,,,12,818,458,,,,,,,,,,,,,,,,14,694,184,,,,,,
101,3348.2,12,566,581,,,,,,,11,831,436,,,,,,,,,,,,,,,,14,682,177,,,,,,
102,3384,12,591,584,,,,,,,11,842,415,,,,,,,,,,,,,,,,14,669,171,,,,,,
103,3416.1,12,615,585,,,,,,,11,851,394,,,,,,,,,,,,,,,,14,656,167,,,,,,
104,3448.5,12,641,584,,,,,,,11,858,373,,,,,,,,,,,,,,,,14,643,165,,,,,,
105,3484.4,12,666,582,,,,,,,12,865,350,,,,,,,,,,,,,,,,14,630,165,,,,,,
106,3516.2,12,692,578,,,,,,,12,869,329,,,,,,,,,,,,,,,,14,618,167,,,,,,
107,3548.4,12,717,572,,,,,,,11,871,308,,,,,,,,,,,,,,,,14,605,170,,,,,,
108,3584,12,742,564,,,,,,,11,872,287,,,,,,,,,,,,,,,,14,594,175,,,,,,
109,3616,12,767,555,,,,,,,13,870,265,,,,,,,,,,,,,,,,15,583,182,,,,,,
110,3652.5,12,791,544,,,,,,,13,867,248,,,,,,,,,,,,,,,,14,574,190,,,,,,
111,3684.1,12,814,532,,,,,,,13,863,231,,,,,,,,,,,,,,,,15,565,200,,,,,,
112,3720.1,12,837,518,,,,,,,13,857,214,,,,,,,,,,,,,,,,15,558,210,,,,,,
113,3748.2,13,858,503,,,,,,,13,851,198,,,,,,,,,,,,,,,,15,551,223,,,,,,
114,3783.8,12,878,487,,,,,,,13,843,184,,,,,,,,,,,,,,,,15,547,237,,,,,,
115,3816,12,897,469,,,,,,,13,833,172,,,,,,,,,,,,,,,,15,543,251,,,,,,
116,3848.5,12,915,451,,,,,,,14,825,160,,,,,,,,,,,,,,,,15,541,266,,,,,,
117,3884.3,13,931,432,,,,,,,14,814,151,,,,,,,,,,,,,,,,15,541,282,,,,,,
118,3916.2,13,946,412,,,,,,,13,804,144,,,,,,,,,,,,,,,,15,542,299,,,,,,
119,3948.3,14,960,392,,,,,,,13,791,137,,,,,,,,,,,,,,,,15,546,316,,,,,,
120,3983.9,13,970,370,,,,,,,13,779,134,,,,,,,,,,,,,,,,15,551,333,,,,,,
121,4016.1,13,979,349,,,,,,,12,768,130,,,,,,,,,,,,,,,,14,557,350,,,,,,
122,4048.2,13,987,328,,,,,,,12,755,130,,,,,,,,,,,,,,,,14,566,368,,,,,,
123,4084.1,13,988,311,,,,,,,12,744,132,,,,,,,,,,,,,,,,14,572,382,,,,,,
124,4116.2,13,975,307,,,,,,,12,725,132,,,,,,,,,,,,,,,,15,561,386,,,,,,
125,4148.9,13,961,306,,,,,,,12,707,140,,,,,,,,,,,,,,,,15,550,397,,,,,,
126,4184.1,13,947,303,,,,,,,13,686,151,,,,,,,,,,,,,,,,14,541,413,,,,,,
127,4216.2,13,932,301,,,,,,,13,663,164,,,,,,,,,,,,,,,,14,533,433,,,,,,
128,4254.6,13,916,296,,,,,,,13,636,180,,,,,,,,,,,,,,,,14,527,456,,,,,,
129,4284,13,899,290,,,,,,,13,612,195,,,,,,,,,,,,,,,,14,523,480,,,,,,
130,4316.1,13,880,280,,,,,,,13,587,208,,,,,,,,,,,,,,,,14,522,500,,,,,,
131,4348,13,862,270,,,,,,,13,563,222,,,,,,,,,,,,,,,,14,521,517,,,,,,
132,4384,12,842,260,,,,,,,13,541,239,,,,,,,,,,,,,,,,14,524,536,,,,,,
133,4416.3,12,821,252,,,,,,,12,520,258,,,,,,,,,,,,,,,,15,530,555,,,,,,
134,4448,13,802,248,,,,,,,12,502,280,,,,,,,,,,,,,,,,15,540,575,,,,,,
135,4484.4,13,784,248,,,,,,,11,489,305,,,,,,,,,,,,,,,,15,550,595,,,,,,
136,4520.1,13,769,250,,,,,,,12,477,329,,,,,,,,,,,,,,,,15,561,613,,,,,,
137,4555.4,12,750,253,,,,,,,12,468,354,,,,,,,,,,,,,,,,15,572,630,,,,,,
138,4584,12,731,255,,,,,,,12,459,379,,,,,,,,,,,,,,,,15,585,645,,,,,,
139,4616.3,12,711,259,,,,,,,12,451,404,,,,,,,,,,,,,,,,15,598,660,,,,,,
140,4649.4,13,691,264,,,,,,,12,444,430,,,,,,,,,,,,,,,,14,610,673,,,,,,
141,4684.1,12,672,272,,,,,,,11,437,454,,,,,,,,,,,,,,,,15,623,685,,,,,,
142,4716.2,12,652,280,,,,,,,11,433,479,,,,,,,,,,,,,,,,14,637,695,,,,,,
143,4748.3,12,632,289,,,,,,,11,430,505,,,,,,,,,,,,,,,,15,649,704,,,,,,
144,4784.1,12,613,299,,,,,,,11,429,529,,,,,,,,,,,,,,,,15,663,712,,,,,,
145,4816.3,12,594,312,,,,,,,12,429,554,,,,,,,,,,,,,,,,14,677,719,,,,,,
146,4848.5,12,575,324,,,,,,,11,430,578,,,,,,,,,,,,,,,,15,690,724,,,,,,
147,4884,12,551,338,,,,,,,11,428,603,,,,,,,,,,,,,,,,14,701,728,,,,,,
148,4916,12,523,353,,,,,,,11,428,629,,,,,,,,,,,,,,,,15,710,728,,,,,,
149,4948.3,12,494,370,,,,,,,11,431,653,,,,,,,,,,,,,,,,14,723,720,,,,,,
150,4984,12,467,388,,,,,,,12,440,678,,,,,,,,,,,,,,,,15,739,707,,,,,,
151,5016,13,445,407,,,,,,,11,453,698,,,,,,,,,,,,,,,,15,753,692,,,,,,
152,5048.6,12,425,429,,,,,,,11,467,717,,,,,,,,,,,,,,,,14,764,674,,,,,,
153,5084.1,13,407,453,,,,,,,12,485,733,,,,,,,,,,,,,,,,14,773,655,,,,,,
154,5116.2,12,392,477,,,,,,,12,503,746,,,,,,,,,,,,,,,,15,780,634,,,,,,
155,5148.5,12,380,503,,,,,,,11,523,758,,,,,,,,,,,,,,,,15,783,611,,,,,,
156,5184.3,12,371,530,,,,,,,12,543,765,,,,,,,,,,,,,,,,15,784,588,,,,,,
157,5216.4,12,365,557,,,,,,,12,565,770,,,,,,,,,,,,,,,,15,781,563,,,,,,
158,5248.2,12,362,584,,,,,,,12,586,771,,,,,,,,,,,,,,,,15,776,540,,,,,,
159,5284.1,13,363,610,,,,,,,12,609,769,,,,,,,,,,,,,,,,16,767,516,,,,,,
160,5316.1,13,366,636,,,,,,,12,630,764,,,,,,,,,,,,,,,,16,755,494,,,,,,
161,5348.2,13,372,661,,,,,,,11,650,758,,,,,,,,,,,,,,,,16,740,473,,,,,,
162,5384.2,13,381,685,,,,,,,12,670,748,,,,,,,,,,,,,,,,15,723,453,,,,,,
163,5416.1,13,392,707,,,,,,,12,686,734,,,,,,,,,,,,,,,,15,704,435,,,,,,
164,5448.2,13,406,727,,,,,,,13,702,717,,,,,,,,,,,,,,,,15,682,420,,,,,,
165,5484.2,12,421,745,,,,,,,11,715,699,,,,,,,,,,,,,,,,15,658,406,,,,,,
166,5516.5,12,439,760,,,,,,,12,724,679,,,,,,,,,,,,,,,,15,633,396,,,,,,
167,5548.2,12,458,773,,,,,,,11,732,658,,,,,,,,,,,,,,,,15,606,388,,,,,,
168,5583.8,12,479,783,,,,,,,11,737,635,,,,,,,,,,,,,,,,15,579,383,,,,,,
169,5616,12,500,790,,,,,,,11,739,611,,,,,,,,,,,,,,,,15,551,381,,,,,,
170,5648.1,12,522,794,,,,,,,11,737,587,,,,,,,,,,,,,,,,15,523,382,,,,,,
171,5684.1,12,545,795,,,,,,,11,733,563,,,,,,,,,,,,,,,,15,495,386,,,,,,
172,5716.1,12,567,793,,,,,,,11,725,540,,,,,,,,,,,,,,,,15,469,393,,,,,,
173,5748.3,12,588,788,,,,,,,11,714,516,,,,,,,,,,,,,,,,15,442,404,,,,,,
174,5784.1,12,609,780,,,,,,,11,702,496,,,,,,,,,,,,,,,,15,418,416,,,,,,
175,5816.4,12,628,769,,,,,,,11,686,475,,,,,,,,,,,,,,,,15,394,431,,,,,,
176,5848.3,12,646,756,,,,,,,11,666,457,,,,,,,,,,,,,,,,15,372,449,,,,,,
177,5884,12,662,740,,,,,,,10,645,441,,,,,,,,,,,,,,,,15,353,468,,,,,,
178,5916.2,12,675,722,,,,,,,11,622,426,,,,,,,,,,,,,,,,15,335,489,,,,,,
179,5948.4,12,686,702,,,,,,,11,598,416,,,,,,,,,,,,,,,,15,320,512,,,,,,
180,5984,12,695,681,,,,,,,11,572,407,,,,,,,,,,,,,,,,15,309,536,,,,,,
181,6016,12,701,659,,,,,,,11,546,402,,,,,,,,,,,,,,,,15,300,562,,,,,,
182,6049.3,12,697,635,,,,,,,11,518,393,,,,,,,,,,,,,,,,15,288,578,,,,,,
183,6084.1,12,684,606,,,,,,,11,484,379,,,,,,,,,,,,,,,,15,272,584,,,,,,
184,6116,12,670,570,,,,,,,12,449,365,,,,,,,,,,,,,,,,15,258,591,,,,,,
185,6149.1,12,654,535,,,,,,,12,413,353,,,,,,,,,,,,,,,,14,246,598,,,,,,
186,6184.1,12,636,500,,,,,,,12,378,344,,,,,,,,,,,,,,,,14,236,605,,,,,,
187,6216.1,12,617,467,,,,,,,12,345,338,,,,,,,,,,,,,,,,15,229,611,,,,,,
188,6248.4,12,596,434,,,,,,,12,312,333,,,,,,,,,,,,,,,,14,224,617,,,,,,
189,6283.9,12,572,401,,,,,,,12,279,329,,,,,,,,,,,,,,,,14,221,622,,,,,,
190,6316.3,12,547,370,,,,,,,12,249,328,,,,,,,,,,,,,,,,14,219,626,,,,,,
191,6348.4,12,520,340,,,,,,,12,220,328,,,,,,,,,,,,,,,,14,220,629,,,,,,
192,6384.3,13,492,312,,,,,,,12,192,330,,,,,,,,,,,,,,,,14,222,630,,,,,,
193,6416.2,12,462,285,,,,,,,13,166,332,,,,,,,,,,,,,,,,15,226,629,,,,,,
194,6448.4,13,431,259,,,,,,,13,142,337,,,,,,,,,,,,,,,,15,229,627,,,,,,
195,6484,13,399,235,,,,,,,13,119,342,,,,,,,,,,,,,,,,15,236,623,,,,,,
